[reproof] = [bawling_out, chewing_out, upbraiding, dressing_down, berating, -1]
[reproval] = [bawling_out, chewing_out, upbraiding, dressing_down, berating, -1]
[repudiate] = [abjure, recant, forswear, deny, reject, -1]
[reputable] = [estimable, respected, esteemed, honored, prestigious, 1]
[repute] = [honor, honour, laurels, fame, stock, 1]
[requisite] = [need, want, must, desideratum, thing, -1]
[research_worker] = [experimenter, boffin, fieldworker, postdoc, post_doc, 1]
[resemblance] = [affinity, mutual_resemblance, alikeness, likeness, similitude, -1]
[reserves] = [force, trainband, military_unit, military_force, military_group, -1]
[reshape] = [influence, determine, shape, mold, regulate, 1]
[resole] = [repair, mend, bushel, doctor, furbish_up, 1]
[resolute] = [undismayed, unshaken, undaunted, firm, stout, 1]
[resoluteness] = [willpower, will_power, decisiveness, trait, steadiness, 1]
[resolvent] = [medium, acetone, propanone, dimethyl_ketone, chlorobenzene, 1]
[respectable] = [nice, decent, solid, presentable, upstanding, 1]
[responsibleness] = [trustworthiness, trustiness, dependability, dependableness, reliability, 1]
[responsiveness] = [sensitivity, sensitiveness, irritability, sensibility, excitability, 1]
[rest_period] = [pause, break, intermission, suspension, breathing_space, 1]
[rested] = [invigorated, refreshed, reinvigorated, untired, unwearied, 1]
[restitution] = [atonement, expiation, punitive_damages, exemplary_damages, compensation, -1]
[restorative] = [bracer, medicine, medication, medicament, medicinal_drug, -1]
[retaliate] = [get_even, get_back, punish, penalize, penalise, -1]
[retaliation] = [vengeance, payback, retribution, reprisal, return, -1]
[retentiveness] = [mental_faculty, faculty, module, remembrance, anamnesis, 1]
[retentivity] = [mental_faculty, faculty, module, remembrance, anamnesis, 1]
[retrogress] = [recede, worsen, decline, drop_off, fall_back, -1]
[revel] = [whoopee, merrymaking, jollification, binge, riot, -1]
[revelry] = [whoopee, merrymaking, jollification, binge, riot, -1]
[reverend] = [divine, minister, deacon, acolyte, anagnost, 1]
[reversal] = [reversion, change_of_state, regression, regress, retrogression, -1]
[revilement] = [scurrility, billingsgate, disrespect, discourtesy, vituperation, -1]
[revitalize] = [better, improve, ameliorate, meliorate, amend, 1]
[revive] = [bring_up, bring_around, raise, resurrect, boot, 1]
[revived] = [renewed, revitalized, revitalised, resurgent, renascent, 1]
[revivify] = [energize, energise, perk_up, brace, stimulate, 1]
[rhabdomyosarcoma] = [embryonal_rhabdomyosarcoma, embryonal_rhabdosarcoma, alveolar_rhabdomyosarcoma, alveolar_rhabdosarcoma, pleomorphic_rhabdomyosarcoma, 1]
[rhabdosarcoma] = [embryonal_rhabdomyosarcoma, embryonal_rhabdosarcoma, alveolar_rhabdomyosarcoma, alveolar_rhabdosarcoma, pleomorphic_rhabdomyosarcoma, 1]
[rheumatoid_arthritis] = [arthritis, psoriatic_arthritis, juvenile_rheumatoid_arthritis, autoimmune_disease, autoimmune_disorder, -1]
[rhinopathy] = [pathology, rhinostenosis, rhinophyma, hypertrophic_rosacea, toper's_nose, 1]
[rhizoctinia_disease] = [little_potato, russet_scab, stem_canker, rosette, plant_disease, -1]
[rhizopod] = [testacean, ameba, amoeba, foram, foraminifer, 1]
[rhizopodan] = [testacean, ameba, amoeba, foram, foraminifer, 1]
[rhizotomy] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, -1]
[rhythmical] = [cadenced, cadent, metrical, metric, lilting, -1]
[ribaldry] = [humor, humour, wit, witticism, wittiness, 1]
[rickettsial_disease] = [spotted_fever, trench_fever, rickettsialpox, typhus, typhus_fever, -1]
[rickettsiosis] = [spotted_fever, trench_fever, rickettsialpox, typhus, typhus_fever, -1]
[rid] = [smooth_out, clear, relieve, smooth, disembody, 1]
[rigamarole] = [meaninglessness, nonsense, bunk, nonsensicality, hokum, -1]
[righteousness] = [honorableness, honourableness, morality, rectitude, honor, 1]
[rigidification] = [rigor_mortis, natural_process, natural_action, activity, action, -1]
[rigidifying] = [rigor_mortis, natural_process, natural_action, activity, action, -1]
[rigmarole] = [meaninglessness, nonsense, bunk, nonsensicality, hokum, -1]
[ringworm] = [fungal_infection, mycosis, kerion, tinea_pedis, athlete's_foot, -1]
[rinse_off] = [flush, purge, wash, scour, launder, -1]
[riot_act] = [rebuke, reproof, reproval, reprehension, reprimand, 1]
[rip_out] = [withdraw, squeeze_out, take, wring_out, demodulate, -1]
[rip_up] = [tease, bust, tear, rupture, snap, -1]
[riposte] = [reply, response, sass, sassing, backtalk, -1]
[road_map] = [guidance, plan, program, programme, counsel, 1]
[road_sense] = [common_sense, good_sense, horse_sense, mother_wit, gumption, 1]
[roam] = [gad, move, gallivant, jazz_around, go, -1]
[roast_lamb] = [leg_of_lamb, gigot, joint, roast, rack_of_lamb, 1]
[robust] = [husky, hardy, sturdy, chesty, stalwart, -1]
[rock_cress] = [sicklepod, tower_cress, tower_mustard, cress, cress_plant, 1]
[rock_plant] = [plant, flora, plant_life, lithophyte, lithophytic_plant, 1]
[rockfoil] = [herb, yellow_mountain_saxifrage, meadow_saxifrage, mossy_saxifrage, western_saxifrage, -1]
[rockweed] = [fucus, bladderwrack, black_rockweed, bladder_fucus, tang, -1]
[roe] = [coral, caviar, caviare, shad_roe, seafood, -1]
[rogue's_gallery] = [camp, pack, clique, coterie, ingroup, -1]
[roguery] = [misbehavior, misbehaviour, misdeed, hell, vandalism, -1]
[roister] = [racket, revel, make_whoopie, make_merry, make_happy, 1]
[role_model] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[role_player] = [beguiler, slicker, name_dropper, ringer, deceiver, -1]
[romanticist] = [mortal, person, individual, someone, somebody, 1]
[rookie] = [novice, beginner, tyro, tiro, initiate, -1]
[rooter] = [enthusiast, partizan, partisan, aficionado, railbird, 1]
[rotgut] = [intoxicant, alcohol, alcoholic_drink, alcoholic_beverage, inebriant, -1]
[roughneck] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[roughness] = [nubbiness, tweediness, harshness, graininess, granularity, -1]
[rounded] = [aspheric, aspherical, prolate, auriform, crescent, 1]
[roundworm] = [fungal_infection, mycosis, kerion, tinea_pedis, athlete's_foot, -1]
[routine] = [rut, groove, rat_race, procedure, process, 1]
[rove] = [gad, move, gallivant, jazz_around, go, -1]
[rowdy] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[rub_along] = [manage, make_out, cope, get_by, make_do, -1]
[rubbish_heap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[rubor] = [blepharitis, diverticulitis, epiglottitis, orchitis, prostatitis, -1]
[ruck_up] = [wrinkle, crinkle, crease, crisp, ruckle, -1]
[ruffian] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[ruffle] = [adornment, goffer, gauffer, jabot, peplum, 1]
[rumination] = [consideration, introspection, cogitation, study, speculation, 1]
[rummage] = [muddle, fuddle, mare's_nest, welter, clutter, -1]
[rummy] = [lush, alcoholic, alky, dipsomaniac, boozer, 1]
[run_a_risk] = [try, assay, essay, go_for_broke, luck_it, 1]
[run_afoul] = [offend, violate, go_against, break, transgress, -1]
[run_up] = [pile_up, roll_up, collect, accumulate, amass, -1]
