[varment] = [animal, animate_being, beast, creature, brute, -1]
[vaticinate] = [vaticinate, call, promise, enlighten, irradiate, 1]
[vd] = [contagious_disease, contagion, pox, granuloma_inguinale, granuloma_venereum, 1]
[vege_out] = [relax, loosen_up, unbend, unwind, decompress, 1]
[vegetative_cell] = [mast_cell, mastocyte, labrocyte, target_cell, phagocyte, -1]
[vellication] = [muscle_spasm, spasm, cramp, tic, blepharism, -1]
[venereal_infection] = [contagious_disease, contagion, pox, granuloma_inguinale, granuloma_venereum, 1]
[venous_sinus] = [canal, sigmoid_sinus, sinus_sigmoideus, cavernous_sinus, sinus_cavernosus, -1]
[venter] = [utterer, speaker, talker, verbalizer, verbaliser, -1]
[venture] = [joint_venture, sally, labor, cause, risk, 1]
[venus's_curse] = [contagious_disease, contagion, pox, granuloma_inguinale, granuloma_venereum, 1]
[verbalisation] = [diction, phrasing, verbiage, wording, phraseology, -1]
[verbalization] = [diction, phrasing, verbiage, wording, phraseology, -1]
[verboseness] = [prolixity, prolixness, wordiness, repetitiveness, repetitiousness, -1]
[verification] = [proof, bed_check, crosscheck, parity_check, redundancy_check, 1]
[verify] = [check, support, assure, affirm, check_off, 1]
[vermicide] = [agent, medicament, medicinal_drug, medication, medicine, 1]
[vermifuge] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[verruca] = [blemish, keratosis, mar, defect, common_wart, -1]
[verve] = [vim, sparkle, twinkle, spark, energy, 1]
[vesicate] = [tumefy, swell_up, tumesce, intumesce, swell, -1]
[vestment] = [robe, gown, veil, alb, cassock, -1]
[veto] = [ballot, vote, voting, balloting, pocket_veto, -1]
[victimise] = [wrong, delude, deceive, cozen, rip_off, -1]
[victimize] = [wrong, delude, deceive, cozen, rip_off, -1]
[victor] = [conqueror, vanquisher, combatant, battler, belligerent, 1]
[view_as] = [consider, view, regard, reckon, see, 1]
[vigor] = [athleticism, strenuosity, forcefulness, force, strength, -1]
[vigour] = [athleticism, strenuosity, forcefulness, force, strength, -1]
[vilification] = [calumniation, traducement, hatchet_job, defamation, calumny, -1]
[vilipend] = [disparage, belittle, deflate, puncture, pick_at, -1]
[villager] = [indweller, inhabitant, habitant, dweller, denizen, 1]
[vim] = [good_health, healthiness, qi, ch'i, juice, 1]
[violator] = [felon, crook, malefactor, outlaw, criminal, 1]
[viper] = [gaboon_viper, ophidian, serpent, snake, adder, -1]
[viral_infection] = [herpangia, viral_pneumonia, hemorrhagic_fever, haemorrhagic_fever, viral_hemorrhagic_fever, 1]
[virility_drug] = [phentolamine, sildenafil, sildenafil_citrate, tadalafil, vardenafil, -1]
[virus_infection] = [herpangia, viral_pneumonia, hemorrhagic_fever, haemorrhagic_fever, viral_hemorrhagic_fever, 1]
[vision_defect] = [disability, disablement, aphakia, color_blindness, colour_blindness, -1]
