[circumspection] = [discernment, sagacity, sagaciousness, confidentiality, judgment, -1]
[circumstances] = [luckiness, good_fortune, good_luck, failure, tough_luck, 1]
[clad] = [gowned, petticoated, surpliced, arrayed, caparisoned, -1]
[cladding] = [protective_cover, protective_covering, protection, revetment, revetement, -1]
[clairvoyance] = [psychic_phenomena, psychic_phenomenon, parapsychology, precognition, foreknowledge, -1]
[clamp_down] = [trammel, limit, restrict, bound, confine, -1]
[clapping] = [hand, round, approval, commendation, handclap, 1]
[class_act] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[claver] = [schmooze, schmoose, shmooze, shmoose, jawbone, 1]
[cleanse] = [wash, lather, floss, decontaminate, bathe, -1]
[clear_sailing] = [forward_motion, onward_motion, progression, procession, progress, 1]
[clear_the_air] = [drive_out, dispel, chase_away, drive_away, drive_off, -1]
[clearcutness] = [lucidness, clarity, clearness, lucidity, pellucidity, 1]
[clearing] = [tract, piece_of_land, piece_of_ground, parcel_of_land, parcel, -1]
[clearness] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[cleome] = [herb, spider_flower, spider_plant, stinking_clover, herbaceous_plant, -1]
[cleverness] = [creativity, creativeness, creative_thinking, imagination, resourcefulness, 1]
[climber] = [clematis, legume, leguminous_plant, climbing_fern, root_climber, 1]
[clinical_depression] = [dysthymia, dysthymic_depression, affective_disorder, major_affective_disorder, emotional_disorder, -1]
[clinodactyly] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[clostridium_perfringens] = [eubacteria, eubacterium, true_bacteria, bioweapon, biological_weapon, 1]
[clotbur] = [subshrub, suffrutex, common_burdock, lesser_burdock, great_burdock, 1]
[clothed] = [gowned, petticoated, surpliced, arrayed, caparisoned, -1]
[clowning] = [folly, lunacy, craziness, indulgence, shtik, 1]
[clozapine] = [major_tranquilizer, major_tranquillizer, major_tranquilliser, antipsychotic_drug, antipsychotic_agent, -1]
[clozaril] = [major_tranquilizer, major_tranquillizer, major_tranquilliser, antipsychotic_drug, antipsychotic_agent, -1]
[clubfoot] = [talipes_equinus, deformity, malformation, talipes_valgus, talipes_calcaneus, 1]
[clump] = [knot, swad, tuft, tussock, agglomeration, -1]
[clumsy_person] = [lump, goon, mortal, duffer, butterfingers, -1]
[clustering] = [knot, swad, tuft, tussock, agglomeration, -1]
[coating] = [bitumastic, veneer, veneering, lacquer, seal, -1]
[cocotte] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[coddler] = [mortal, person, individual, someone, somebody, 1]
[coenzyme] = [cocarboxylase, thiamine_pyrophosphate, nicotinamide_adenine_dinucleotide, nicotinamide_adenine_dinucleotide_phosphate, triphosphopyridine_nucleotide, -1]
[coerce] = [turn_up_the_heat, turn_up_the_pressure, steamroller, steamroll, sandbag, 1]
[coffee_roll] = [cross_bun, hot_cross_bun, bear_paw, bear_claw, bun, -1]
[cognisant] = [alert, sensible, alive, conscious, awake, 1]
[cognitive_factor] = [difficulty, inspiration, determinant, determinative, divine_guidance, -1]
[cognizant] = [alert, sensible, alive, conscious, awake, 1]
[coherence] = [connectedness, connection, consistency, continuity, link, 1]
[coherency] = [connectedness, connection, consistency, continuity, link, 1]
[coiled] = [convoluted, convolute, involute, rolled, wound, 1]
[cold_cereal] = [puffed_rice, granola, raisin_bran, corn_flake, bran_flake, -1]
[colitis] = [regional_enteritis, regional_ileitis, ulcerative_colitis, rubor, redness, -1]
[collage_film] = [flick, movie, film, picture, moving_picture, 1]
[collard] = [kale, kail, cole, borecole, colewort, 1]
[collation] = [refreshment, nosh, coffee_break, tea_break, meal, 1]
[collector's_item] = [curio, oddity, curiosity, peculiarity, oddment, 1]
[colly] = [muddy_up, muck_up, foul, blemish, smear, -1]
[color_blindness] = [visual_impairment, visual_defect, vision_defect, visual_disorder, monochromacy, -1]
[color_vision_deficiency] = [visual_impairment, visual_defect, vision_defect, visual_disorder, monochromacy, -1]
[colour_blindness] = [visual_impairment, visual_defect, vision_defect, visual_disorder, monochromacy, -1]
[colour_vision_deficiency] = [visual_impairment, visual_defect, vision_defect, visual_disorder, monochromacy, -1]
[colourful] = [gay, showy, picturesque, sporty, brave, 1]
[columned] = [amphistylar, colonnaded, pillared, columnar, columniform, 1]
[combustion] = [flaming, deflagration, fire, flame, internal_combustion, -1]
[come_in] = [get_on, board, intrude, irrupt, invade, 1]
[comeback] = [reply, response, sass, sassing, backtalk, -1]
[comer] = [rival, competition, challenger, competitor, contender, 1]
[coming] = [move, movement, access, closing, closure, 1]
[commencement] = [point_in_time, threshold, birth, incipiency, incipience, 1]
[commendation] = [accolade, honor, honour, laurels, award, 1]
[commissure] = [pathway, corpus_callosum, nerve_pathway, tract, nerve_tract, 1]
[commode] = [flushless_toilet, flush_toilet, lavatory, potty_seat, potty_chair, 1]
[common_bean] = [kidney_bean, frijol, frijole, green_bean, wax_bean, 1]
[common_land] = [pastureland, grazing_land, ley, pasture, lea, -1]
[commonplaceness] = [mundaneness, mundanity, prosiness, prosaicness, ordinariness, 1]
[commons] = [amusement_park, funfair, pleasure_ground, village_green, tract, -1]
[commotion] = [turmoil, convulsion, tempest, disorder, earthquake, -1]
[commove] = [upset, hype_up, psych_up, bother, trouble, -1]
[communicativeness] = [outspokenness, frankness, garrulity, garrulousness, loquaciousness, 1]
[communicatory] = [blabbermouthed, expansive, heraldic, talkative, leaky, -1]
[commutable] = [alterable, convertible, translatable, transformable, transmutable, 1]
[comparing] = [confrontation, contrast, scrutiny, collation, likening, -1]
[competent] = [workmanlike, effective, efficient, able, capable, 1]
[complaining] = [querulous, whiney, whiny, fretful, protestant, -1]
[complaintive] = [querulous, whiney, whiny, fretful, protestant, -1]
[complect] = [intercommunicate, connect, link, link_up, join, 1]
[completeness] = [integrity, wholeness, fullness, comprehensiveness, unity, 1]
[complexion] = [lividness, pallidness, pallor, wanness, achromasia, -1]
[complexity] = [quality, intricacy, elaborateness, tapestry, complicatedness, 1]
[complexness] = [quality, intricacy, elaborateness, tapestry, complicatedness, 1]
[compliance] = [keeping, formality, honoring, line, observance, 1]
[complimentary] = [laudatory, praiseful, praising, encomiastic, eulogistic, 1]
[comport] = [remember_oneself, move, walk, assert_oneself, act, 1]
[comportment] = [dignity, gravitas, lordliness, personal_manner, manner, 1]
[composed] = [unflurried, unflustered, unperturbed, unruffled, coolheaded, 1]
[composite_plant] = [mayweed, stinking_mayweed, stinking_chamomile, dog_fennel, oxeye_daisy, 1]
[composure] = [tranquility, serenity, disposition, repose, placidity, 1]
[comprehendible] = [accessible, fathomable, approachable, perceivable, intelligible, 1]
[comprehensible] = [accessible, fathomable, approachable, perceivable, intelligible, 1]
[con_artist] = [gouger, swindler, defrauder, chiseller, chiseler, 1]
[con_man] = [gouger, swindler, defrauder, chiseller, chiseler, 1]
[conceitedness] = [posturing, swelled_head, egotism, boastfulness, vainglory, -1]
[conceive] = [find, design, preconceive, discover, create_by_mental_act, 1]
[conceive_of] = [fancy, foresee, fantasy, daydream, woolgather, -1]
[conceptualise] = [find, design, preconceive, discover, create_by_mental_act, 1]
[conceptualization] = [framing, approach, attack, plan_of_attack, creating_by_mental_acts, 1]
[conceptualize] = [find, design, preconceive, discover, create_by_mental_act, 1]
[conciliate] = [tranquilize, tranquillize, tranquillise, calm_down, quieten, 1]
[conciliative] = [appeasing, placating, placative, placatory, pacific, -1]
[concise] = [sententious, pithy, curt, summary, elliptical, -1]
[concoction] = [mincemeat, stuffing, dressing, roux, batter, 1]
[concordance] = [peace, accord, comity, agreement, order, 1]
[concrete_representation] = [embodiment, shape, representation, mental_representation, internal_representation, 1]
[concreteness] = [materiality, literalness, physicalness, corporeality, corporality, 1]
[concretism] = [embodiment, shape, representation, mental_representation, internal_representation, 1]
[concretize] = [narrow_down, peg_down, nail_down, narrow, pin_down, 1]
[concupiscence] = [love, aphrodisia, lecherousness, lustfulness, amorousness, 1]
[condiment] = [taco_sauce, chili_sauce, steak_sauce, duck_sauce, hoisin_sauce, -1]
[conduce] = [further, promote, encourage, boost, advance, 1]
[confab] = [gossip, chitchat, chit_chat, gab, small_talk, -1]
[confabulate] = [fabricate, manufacture, cook_up, invent, make_up, 1]
[confabulation] = [gossip, chitchat, chit_chat, gab, small_talk, -1]
[confide] = [relieve, expose, break, let_out, bring_out, 1]
[confidence_man] = [gouger, swindler, defrauder, chiseller, chiseler, 1]
[confidential_information] = [guidance, counsel, counseling, counselling, direction, 1]
[confines] = [reach, range, compass, scope, orbit, 1]
[confound] = [demoralize, pose, disorient, disorientate, amaze, -1]
[confront] = [take_the_bull_by_the_horns, breast, front, encounter, oppose, -1]
[confute] = [controvert, refute, rebut, falsify, negate, -1]
[congenital_afibrinogenemia] = [afibrinogenemia, genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, -1]
[congenital_disease] = [abetalipoproteinemia, congenital_megacolon, juvenile_amaurotic_idiocy, congenital_afibrinogenemia, lactose_intolerance, -1]
[congenital_megacolon] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[congenital_pancytopenia] = [anaemia, anemia, genetic_disease, genetic_disorder, genetic_abnormality, 1]
[congestion] = [stuffiness, hydrothorax, hemothorax, haemothorax, hyperemia, -1]
[congratulations] = [superlative, compliment, testimonial, good_word, approval, 1]
[conjunctivitis] = [ophthalmia, ophthalmitis, rubor, redness, inflammation, -1]
[conjuration] = [invocation, charm, spell, magic_spell, magical_spell, -1]
[conjure] = [curse, bless, imprecate, anathemize, anathemise, 1]
[conjure_up] = [curse, bless, imprecate, anathemize, anathemise, 1]
[conjurer] = [escapologist, escape_expert, mind_reader, telepathist, performer, 1]
[conjuror] = [escapologist, escape_expert, mind_reader, telepathist, performer, 1]
[conk_out] = [blow, change, crash, go_down, blow_out, -1]
[connectedness] = [contact, coherence, coherency, concatenation, interconnection, -1]
[connexion] = [joint, node, articulation, join, juncture, -1]
[connotative] = [inferential, suggestive, implicative, connotational, connotative_of, 1]
[conquerable] = [beatable, vanquishable, vincible, subduable, subjugable, 1]
[consciousness] = [awareness, ego, state_of_mind, esthesia, aesthesia, 1]
[consistent] = [reconciled, accordant, agreeable, conformable, pursuant, 1]
[consortium] = [trust, combine, corporate_trust, cartel, association, 1]
[conspicuous] = [outstanding, bold, marked, prominent, striking, 1]
[constancy] = [metastability, monotony, invariance, changelessness, unchangeability, 1]
[constructive] = [reconstructive, formative, shaping, creative, inferential, 1]
[consummate] = [fulfil, execute, fulfill, carry_through, accomplish, -1]
[contagion] = [influenza, flu, grippe, measles, rubeola, 1]
[contemptible] = [abject, scurvy, miserable, scummy, pathetic, -1]
[contestable] = [shakable, shakeable, challengeable, disputable, debatable, 1]
[contestation] = [firestorm, dispute, fight, conflict, polemic, 1]
[continuing_education] = [education, didactics, educational_activity, pedagogy, instruction, 1]
[continuous] = [dogging, persisting, sustained, consecutive, perpetual, -1]
[contrabandist] = [criminal, outlaw, malefactor, felon, crook, -1]
[contract] = [grant, sale_in_gross, contract_of_hazard, adhesion_contract, contract_of_adhesion, 1]
[contradiction_in_terms] = [antinomy, paradox, falsehood, falsity, untruth, -1]
[contradistinguish] = [tell_apart, severalize, severalise, differentiate, secern, 1]
[contrariness] = [cussedness, orneriness, unruliness, fractiousness, willfulness, -1]
[contravene] = [offend, violate, go_against, break, transgress, -1]
[contribute] = [instill, transfuse, change, throw_in, alter, 1]
[contrivance] = [gadgetry, gimbal, injector, mod_con, device, 1]
[controlled] = [regimented, obsessed, possessed, disciplined, dominated, 1]
[controversial] = [arguable, contentious, disputable, disputed, polemic, 1]
[controversialist] = [hairsplitter, quarreler, quarreller, obstructor, obstructer, 1]
[controvert] = [negative, veto, refute, rebut, blackball, -1]
[contumely] = [scurrility, billingsgate, disrespect, discourtesy, vituperation, -1]
[convalesce] = [perk, perk_up, improve, ameliorate, meliorate, -1]
[conventional] = [received, customary, formulaic, stuffy, stodgy, 1]
[conversationalist] = [utterer, deipnosophist, interlocutor, conversational_partner, speaker, 1]
[conversationist] = [utterer, deipnosophist, interlocutor, conversational_partner, speaker, 1]
[conversion_disorder] = [glove_anesthesia, mental_disorder, mental_disturbance, psychological_disorder, folie, -1]
[conversion_hysteria] = [glove_anesthesia, mental_disorder, mental_disturbance, psychological_disorder, folie, -1]
