[easement] = [privilege, perquisite, public_easement, right_of_way, prerogative, 1]
[easing] = [change, modification, disembarrassment, breath_of_fresh_air, alteration, 1]
[easy_going] = [forward_motion, onward_motion, progression, procession, progress, 1]
[eat_into] = [nettle, bother, devil, chafe, rag, -1]
[eater] = [scoffer, vegetarian, devourer, diner, dunker, 1]
[eating_disorder] = [upset, bulimarexia, bulima_nervosa, bulimia, disorder, -1]
[eavesdrop] = [bug, tap, wiretap, intercept, listen, -1]
[eblis] = [genie, jinni, jinnee, djinni, djinny, -1]
[ebullience] = [spirit, rabidity, rabidness, sprightliness, lyricism, 1]
[ebullition] = [manifestation, cry, reflection, acting_out, explosion, 1]
[eccyesis] = [abdominal_pregnancy, ovarian_pregnancy, tubal_pregnancy, pregnancy, gestation, -1]
[echt] = [unquestionable, documented, veritable, attested, authenticated, -1]
[economic_aid] = [grant, gift, social_welfare, public_assistance, philanthropy, 1]
[ectopic_gestation] = [abdominal_pregnancy, ovarian_pregnancy, tubal_pregnancy, pregnancy, gestation, -1]
[ectopic_pregnancy] = [abdominal_pregnancy, ovarian_pregnancy, tubal_pregnancy, pregnancy, gestation, -1]
[edema] = [angioedema, atrophedema, giant_hives, periodic_edema, lymphedema, -1]
[educated] = [learned, semiliterate, knowledgeable, lettered, literate, 1]
[educational_activity] = [continuing_education, activity, course, extracurricular_activity, coeducation, 1]
[edulcorate] = [sugarcoat, honey, glaze, change_taste, sugar, 1]
[eff] = [have, pair, take, couple, fornicate, 1]
[effect] = [byproduct, wallop, side_effect, dent, fallout, -1]
[effectiveness] = [incisiveness, trenchancy, efficacy, efficaciousness, power, 1]
[effectivity] = [incisiveness, trenchancy, efficacy, efficaciousness, power, 1]
[effectuality] = [incisiveness, trenchancy, efficacy, efficaciousness, power, 1]
[effectualness] = [incisiveness, trenchancy, efficacy, efficaciousness, power, 1]
[effortful] = [tiring, wearing, wearying, hard, arduous, -1]
[effortfulness] = [difficulty, arduousness, strenuousness, laboriousness, operoseness, -1]
[effortlessness] = [smoothness, ease, easiness, readiness, facility, -1]
[effulgence] = [gleaming, luster, polish, glow, lustre, 1]
[effusion] = [manifestation, cry, reflection, acting_out, explosion, 1]
[elapid] = [death_adder, ophidian, serpent, krait, taipan, -1]
[elapid_snake] = [death_adder, ophidian, serpent, krait, taipan, -1]
[elected_official] = [lame_duck, lieutenant_governor, selectman, selectwoman, official, 1]
[electrical_phenomenon] = [resistance, potential, reluctance, distortion, capacity, -1]
[electrify] = [turn_on, rouse, charge, agitate, excite, 1]
[elegance] = [tastefulness, daintiness, eclat, breeding, genteelness, 1]
[eligible] = [worthy, desirable, suitable, bailable, entitled, 1]
[elite] = [intelligentsia, clerisy, nobility, elect, aristocracy, 1]
[elite_group] = [intelligentsia, clerisy, nobility, elect, aristocracy, 1]
[elucidate] = [elaborate, clear, crystallize, clear_up, elucidate, 1]
[embellish] = [overstate, hyperbolize, hyperbolise, glorify, exaggerate, 1]
[embezzlement] = [raid, thieving, plunderage, larceny, theft, -1]
[embracement] = [grasp, hug, nestle, snuggle, grip, 1]
[embracing] = [grasp, hug, nestle, snuggle, grip, 1]
[embroider] = [beautify, embellish, decorate, adorn, grace, 1]
[emetic] = [remedy, cure, therapeutic, curative, ipecac, -1]
[emmy] = [accolade, honor, honour, laurels, award, 1]
[emotion] = [love, conditioned_emotional_response, conditioned_emotion, fright, reverence, 1]
[emotional_arousal] = [fervor, fervour, excitation, excitement, arousal, 1]
[emotional_disorder] = [manic_disorder, bipolar_disorder, manic_depression, manic_depressive_illness, depression, -1]
[emotional_disturbance] = [manic_disorder, bipolar_disorder, manic_depression, manic_depressive_illness, depression, -1]
[emotional_person] = [captive, mortal, spitfire, person, individual, 1]
[emotionalism] = [passion, affectionateness, drama, lovingness, fondness, 1]
[emotionality] = [passion, affectionateness, drama, lovingness, fondness, 1]
[emplace] = [set, pose, lay, put, place, 1]
[empty_talk] = [nonsense, meaninglessness, bunk, nonsensicality, hokum, 1]
[empty_words] = [nonsense, meaninglessness, bunk, nonsensicality, hokum, 1]
[emulator] = [epigone, epigon, parrot, mortal, person, -1]
[enable] = [gift, change, empower, invest, endow, 1]
[encephalitis] = [rubor, redness, sleeping_sickness, sleepy_sickness, epidemic_encephalitis, -1]
[encephalopathy] = [apraxia, paralysis_agitans, shaking_palsy, acataphasia, epilepsy, -1]
[enchanted] = [bewitched, ensorcelled, fascinated, hypnotized, hypnotised, 1]
[enclose] = [benight, engulf, hide, tube, capsule, 1]
[encopresis] = [mental_disorder, mental_disturbance, psychological_disorder, folie, disturbance, -1]
[encroach_upon] = [raid, come_in, foray_into, enter, get_into, -1]
[enculturation] = [breeding, fostering, fosterage, cultivation, bringing_up, 1]
[encumbrance] = [vexation, dead_weight, imposition, worry, concern, -1]
[endeavor] = [labor, racket, forlorn_hope, fraudulent_scheme, illegitimate_enterprise, 1]
[endeavour] = [labor, racket, forlorn_hope, fraudulent_scheme, illegitimate_enterprise, 1]
[endorser] = [friend, champion, supporter, protagonist, admirer, 1]
[endowment] = [genius, raw_talent, flair, bent, knack, 1]
[endurance] = [strength, tolerance, stamina, staying_power, sufferance, 1]
[enduringness] = [indestructibility, tensile_strength, continuity, persistence, changelessness, 1]
[energize] = [reanimate, revivify, reinvigorate, recreate, renovate, 1]
[energizing] = [vivification, invigoration, activity, animation, electrification, 1]
[energy] = [alternative_energy, activation_energy, energy_of_activation, atomic_energy, nuclear_energy, -1]
[enforce] = [execute, run, compel, oblige, obligate, -1]
[engross] = [focus, pore, rivet, concentrate, center, 1]
[engulf] = [focus, pore, rivet, concentrate, center, 1]
[enhance] = [compound, intensify, deepen, potentiate, heighten, 1]
[enlargement] = [stretching, dilation, dilatation, distention, distension, 1]
[enliven] = [encourage, stir, shake, excite, shake_up, 1]
[enounce] = [sound, lilt, accent, round, sibilate, 1]
[enrich] = [better, improve, ameliorate, meliorate, amend, 1]
[ensconce] = [set, pose, lay, put, place, 1]
[ensemble] = [gamelan, jug_band, pop_group, mariachi, skiffle_group, -1]
[ensky] = [laud, extol, exalt, glorify, proclaim, 1]
[enteron] = [alimentary_canal, alimentary_tract, digestive_tube, digestive_tract, gastrointestinal_tract, -1]
[entertainer] = [pleaser, bombshell, mortal, busker, drawing_card, 1]
[enthusiast] = [friend, sports_fan, rooter, fan, nut, 1]
[enticement] = [forbidden_fruit, allurement, hook, sweetener, influence, 1]
[entireness] = [completeness, works, whole_shebang, whole_kit_and_caboodle, kit_and_caboodle, 1]
[entirety] = [completeness, works, whole_shebang, whole_kit_and_caboodle, kit_and_caboodle, 1]
[entrust] = [hand, commend, reach, charge, give, 1]
[enucleation] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, 1]
[enunciate] = [sound, lilt, accent, round, sibilate, 1]
[enuresis] = [overflow_incontinence, incontinency, incontinence, stress_incontinence, urge_incontinence, -1]
[envisage] = [fancy, foresee, fantasy, daydream, woolgather, -1]
[eosinophil] = [leukocyte, leucocyte, white_blood_cell, white_cell, white_blood_corpuscle, 1]
[eosinophile] = [leukocyte, leucocyte, white_blood_cell, white_cell, white_blood_corpuscle, 1]
[epicondylitis] = [rubor, redness, inflammation, tennis_elbow, lateral_epicondylitis, -1]
[epigon] = [copycat, emulator, aper, imitator, ape, -1]
[epigone] = [copycat, emulator, aper, imitator, ape, -1]
[epilepsy] = [myoclonus_epilepsy, grand_mal_epilepsy, generalized_epilepsy, psychomotor_epilepsy, temporal_lobe_epilepsy, -1]
[epileptic_seizure] = [petit_mal, epilepsia_minor, convulsion, grand_mal, epilepsia_major, -1]
[epinephrin] = [pressor, hormone, endocrine, internal_secretion, catecholamine, 1]
[epinephrine] = [pressor, hormone, endocrine, internal_secretion, catecholamine, 1]
[epitomise] = [typify, symbolize, symbolise, stand_for, represent, 1]
