[anaesthesia] = [cryoanesthesia, cryoanaesthesia, general_anesthesia, general_anaesthesia, local_anesthesia, -1]
[anaplasty] = [lift, phalloplasty, abdominoplasty, tummy_tuck, autoplasty, 1]
[anathemise] = [call_down, raise, stir, call_forth, conjure, -1]
[anathemize] = [call_down, raise, stir, call_forth, conjure, -1]
[anemia] = [congenital_pancytopenia, drepanocytic_anemia, drepanocytic_anaemia, hypoplastic_anemia, hypoplastic_anaemia, 1]
[anesthesia] = [cryoanesthesia, cryoanaesthesia, general_anesthesia, general_anaesthesia, local_anesthesia, -1]
[aneurism] = [aortic_aneurysm, cerebral_aneurysm, intracranial_aneurysm, ventricular_aneurysm, cardiovascular_disease, -1]
[aneurysm] = [aortic_aneurysm, cerebral_aneurysm, intracranial_aneurysm, ventricular_aneurysm, cardiovascular_disease, -1]
[angina] = [quinsy, peritonsillar_abscess, spasmodic_laryngitis, inflammatory_disease, croup, -1]
[angioplasty] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, -1]
[angular_shape] = [fold, crease, plication, crimp, flexure, 1]
[angularity] = [fold, crease, plication, crimp, flexure, 1]
[animal_fancier] = [enthusiast, cat_fancier, horseman, horse_fancier, fancier, -1]
[animal_group] = [pack, strain, biological_group, brood, litter, -1]
[animal_order] = [perching_bird, percher, thyreophoran, marginocephalian, euronithopod, -1]
[animalism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[animate_being] = [stunt, game, mutant, invertebrate, varmint, -1]
[animated] = [lively, enlivened, spirited, reanimated, vital, 1]
[annihilation] = [devastation, atomization, atomisation, pulverization, pulverisation, -1]
[annul] = [stet, set_aside, break, cancel, strike_down, -1]
[anodyne] = [hydromorphone_hydrochloride, hydromorphone, acetaminophen, codeine, medicine, -1]
[anomaly] = [abnormality, abnormalcy, birth_defect, congenital_anomaly, congenital_defect, -1]
[anoxia] = [anemic_anoxia, ischemic_anoxia, stagnant_anoxia, anoxic_anoxia, hypoxia, -1]
[antagonize] = [nettle, bother, devil, chafe, rag, -1]
[anthelminthic] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[anthelmintic] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[antianxiety_agent] = [minor_tranquilizer, minor_tranquillizer, minor_tranquilliser, antianxiety_drug, anxiolytic, -1]
[antianxiety_drug] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, tranquilliser, -1]
[antibiotic_drug] = [antibacterial, mycomycin, novobiocin, antineoplastic_antibiotic, bacitracin, 1]
[anticonvulsant] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[anticonvulsant_drug] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antidepressant] = [medicine, medication, nontricyclic, nontricyclic_drug, nontricyclic_antidepressant, -1]
[antidepressant_drug] = [medicine, medication, nontricyclic, nontricyclic_drug, nontricyclic_antidepressant, -1]
[antidiabetic] = [metformin, medicine, medication, medicament, medicinal_drug, -1]
[antidiabetic_drug] = [metformin, medicine, medication, medicament, medicinal_drug, -1]
[antidote] = [remedy, cure, therapeutic, curative, atropine, -1]
[antiemetic] = [prochlorperazine, medicine, medication, medicament, medicinal_drug, -1]
[antiemetic_drug] = [prochlorperazine, medicine, medication, medicament, medicinal_drug, -1]
[antiepileptic] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antiepileptic_drug] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antimalarial] = [chloroquine, primaquine, quinacrine, quinacrine_hydrochloride, mepacrine, 1]
[antimalarial_drug] = [chloroquine, primaquine, quinacrine, quinacrine_hydrochloride, mepacrine, 1]
[antineoplastic_antibiotic] = [antibiotic, antibiotic_drug, antineoplastic, mithramycin, antineoplastic_drug, 1]
[antiprotozoal] = [metronidazole, antimalarial, antimalarial_drug, medicine, medication, -1]
[antiprotozoal_drug] = [metronidazole, antimalarial, antimalarial_drug, medicine, medication, -1]
[antipruritic] = [local_anesthetic, local_anaesthetic, local, topical_anesthetic, topical_anaesthetic, 1]
[antipsychotic] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[antipsychotic_agent] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[antipsychotic_drug] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[anxiolytic] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, tranquilliser, -1]
[anxiolytic_drug] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, tranquilliser, -1]
[aper] = [epigone, epigon, parrot, mortal, person, -1]
[aperient] = [medicament, medicinal_drug, medication, aloes, bitter_aloes, 1]
[aphasia] = [auditory_aphasia, acoustic_aphasia, word_deafness, nominal_aphasia, anomic_aphasia, -1]
[apocalypse] = [calamity, catastrophe, tragedy, disaster, cataclysm, -1]
[apologise] = [mitigate, plead, colour, palliate, support, -1]
[apothecary] = [pharmacologist, pharmaceutical_chemist, health_professional, primary_care_provider, health_care_provider, 1]
[apotheosis] = [jimdandy, jimhickey, crackerjack, class_act, humdinger, 1]
[appal] = [churn_up, sicken, disgust, nauseate, revolt, -1]
[appease] = [tranquilize, tranquillize, tranquillise, calm_down, quieten, 1]
[appetisingness] = [flavorsomeness, flavoursomeness, savoriness, succulence, succulency, -1]
[appetizingness] = [flavorsomeness, flavoursomeness, savoriness, succulence, succulency, -1]
[appreciator] = [mortal, enophile, oenophile, person, individual, 1]
[apprehend] = [understand, twig, digest, tumble, intuit, 1]
[apprehensiveness] = [fear, fearfulness, foreboding, presentiment, boding, -1]
[approximation] = [underestimation, underrating, underreckoning, dead_reckoning, underestimate, -1]
[apteral] = [amphistylar, amphiprostylar, amphiprostyle, porticoed, prostyle, -1]
[argufy] = [fall_out, debate, wrangle, spat, brawl, 1]
[arguing] = [firestorm, dispute, fight, conflict, polemic, 1]
[argumentative] = [contentious, disputatious, disputative, eristic, eristical, 1]
[aristocracy] = [knighthood, elite, elite_group, noblesse, peerage, 1]
[armored] = [bulletproof, mailed, lightly_armored, lightly_armoured, scaled, -1]
[armored_dinosaur] = [ankylosaur, ankylosaurus, stegosaur, stegosaurus, ornithischian, 1]
[armored_vehicle] = [tank, tank_destroyer, armored_car, armoured_car, armored_personnel_carrier, -1]
[armoured_vehicle] = [tank, tank_destroyer, armored_car, armoured_car, armored_personnel_carrier, -1]
[array] = [panoply, row, table, tabular_array, matrix, 1]
[arrhythmia] = [heart_block, atrioventricular_block, bradycardia, ventricular_fibrillation, tachycardia, -1]
[arriviste] = [junior, unpleasant_person, disagreeable_person, climber, social_climber, -1]
[arrogator] = [mortal, person, individual, someone, somebody, -1]
[arteritis] = [pulseless_disease, temporal_arteritis, rubor, redness, polyarteritis, -1]
[artificial_respiration] = [emergency_procedure, breathing, external_respiration, respiration, ventilation, -1]
[artificiality] = [unnaturalness, pretence, pretension, staginess, theatricality, -1]
[artistic_creation] = [gastronomy, arts_and_crafts, carving, decoupage, ceramics, 1]
[artistic_production] = [gastronomy, arts_and_crafts, carving, decoupage, ceramics, 1]
[artistry] = [eristic, puppetry, homiletics, aviation, airmanship, 1]
[asceticism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, 1]
[ascription] = [zoomorphism, classification, categorization, categorisation, sorting, 1]
[asexual] = [agamic, agamous, agamogenetic, parthenogenetic, apomictic, -1]
[asexual_reproduction] = [pullulation, apomixis, blastogenesis, budding, fission, -1]
[ask_for] = [raise, arouse, elicit, enkindle, kindle, 1]
[ask_for_it] = [persevere, hang_in, persist, hang_on, hold_on, -1]
[ask_for_trouble] = [persevere, hang_in, persist, hang_on, hold_on, -1]
[asperger's_syndrome] = [mental_disorder, mental_disturbance, psychological_disorder, folie, disturbance, -1]
[asperse] = [assassinate, charge, accuse, malign, libel, 1]
[asphyxiating] = [dyspneic, dyspnoeic, dyspneal, dyspnoeal, breathless, -1]
[assail] = [blindside, profane, dishonour, assault, savage, -1]
[assassination] = [calumniation, traducement, hatchet_job, defamation, calumny, -1]
[assertion] = [testimony, claim, charge, contention, accusation, 1]
[assets] = [overage, crown_jewel, security, capital, hole_card, 1]
[asseverate] = [say, aver, predicate, insist, take_a_firm_stand, 1]
[asseveration] = [testimony, claim, charge, contention, accusation, 1]
[assiduity] = [diligence, industriousness, singleness, intentness, engrossment, 1]
[assiduousness] = [diligence, industriousness, singleness, intentness, engrossment, 1]
[assoil] = [pronounce, purge, whitewash, vindicate, label, 1]
[assuage] = [tranquilize, tranquillize, tranquillise, calm_down, quieten, 1]
[asthenia] = [infirmity, frailty, debility, frailness, valetudinarianism, -1]
[astheny] = [infirmity, frailty, debility, frailness, valetudinarianism, -1]
[asthmatic] = [mortal, person, individual, someone, somebody, -1]
[astringence] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[astringency] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[astuteness] = [foxiness, slyness, wiliness, craftiness, cunning, 1]
[asylum] = [safehold, harbor, harbour, safe_house, shelter, -1]
[asymmetry] = [geometrical_irregularity, radial_asymmetry, lopsidedness, skewness, irregularity, -1]
[atabrine] = [antimalarial, antimalarial_drug, vermifuge, anthelmintic, anthelminthic, -1]
[ataractic] = [minor_tranquilizer, minor_tranquillizer, minor_tranquilliser, antianxiety_drug, anxiolytic, -1]
[ataractic_agent] = [minor_tranquilizer, minor_tranquillizer, minor_tranquilliser, antianxiety_drug, anxiolytic, -1]
