[foray] = [penetration, air_raid, air_attack, swoop, incursion, 1]
[forbid] = [require, bar, debar, criminalize, outlaw, 1]
[force_unit] = [pound, dyne, newton, sthene, poundal, -1]
[forcefulness] = [brunt, intensiveness, impulse, vigor, vigour, -1]
[foreclose] = [save, foil, spoil, frustrate, stymie, 1]
[foreign] = [international, abroad, overseas, external, outside, -1]
[foreigner] = [au_pair, exile, deportee, gringo, import, -1]
[foreignness] = [alienage, alienism, exoticism, exoticness, exotism, -1]
[foreshow] = [auspicate, prefigure, bode, portend, prognosticate, 1]
[forestall] = [save, foil, spoil, frustrate, stymie, 1]
[forgiver] = [mortal, person, individual, someone, somebody, -1]
[formulate] = [hypothecate, speculate, conjecture, mature, suppose, -1]
[fornicate] = [whore, jazz, hump, bonk, screw, -1]
[fornicator] = [slut, trollop, libertine, adulteress, fornicatress, -1]
[forsake] = [maroon, strand, walk_out, expose, ditch, -1]
[fortuity] = [break, good_luck, happy_chance, hap, coincidence, -1]
[fortunate] = [better_off, happy, lucky, well, felicitous, 1]
[forward_motion] = [plain_sailing, clear_sailing, easy_going, move, push, 1]
[fox] = [vixen, red_fox, kit_fox, prairie_fox, white_fox, -1]
[fracas] = [batrachomyomachia, wrangle, dustup, quarrel, row, -1]
[fractiousness] = [contrariness, wildness, intractability, intractableness, perversity, -1]
[fracture] = [injury, hairline_fracture, capillary_fracture, incomplete_fracture, simple_fracture, -1]
[fragrancy] = [scent, aroma, olfactory_property, smell, odor, 1]
[frailness] = [cachexia, cachexy, wasting, softness, unfitness, 1]
[frailty] = [cachexia, cachexy, wasting, softness, unfitness, 1]
[frame_of_mind] = [case, thinking_cap, temporary_state, psychological_state, psychological_condition, 1]
[fraud] = [fraud_in_fact, positive_fraud, mail_fraud, swindle, rig, -1]
[free_house] = [public_house, pub, saloon, pothouse, gin_mill, -1]
[free_love] = [fornication, unlawful_carnal_knowledge, criminal_congress, adultery, criminal_conversation, -1]
[free_spirit] = [mortal, person, individual, someone, somebody, 1]
[freeload] = [mooch, cadge, grub, sponge, bum, 1]
[freewheeler] = [mortal, person, individual, someone, somebody, 1]
[freeze] = [chilling, frost, lyophilization, lyophilisation, icing, -1]
[freeze_off] = [snub, rebuff, repel, refuse, decline, -1]
[french_fries] = [potato, white_potato, murphy, spud, tater, 1]
[frenzy] = [manic_disorder, mania, nympholepsy, mass_hysteria, epidemic_hysertia, -1]
[freshen] = [regenerate, air_out, air, renew, vent, -1]
[fretfulness] = [ill_humor, ill_humour, distemper, pet, testiness, -1]
[friendly_relationship] = [trust, confidence, blood_brotherhood, company, companionship, 1]
[friendship] = [trust, confidence, blood_brotherhood, company, companionship, 1]
