[intractability] = [mulishness, unruliness, fractiousness, willfulness, wilfulness, -1]
[intractable] = [unmalleable, stubborn, refractory, uncontrollable, balking, -1]
[intractableness] = [mulishness, unruliness, fractiousness, willfulness, wilfulness, -1]
[intransigence] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[intransigency] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[intrinsic] = [constitutional, integral, intimate, inner, inbuilt, 1]
[intrinsical] = [constitutional, integral, intimate, inner, inbuilt, 1]
[intrude] = [bother, barge_in, come_in, break_in, crash, -1]
[intrude_on] = [raid, come_in, foray_into, enter, get_into, -1]
[intrusive] = [interfering, meddlesome, meddling, officious, busybodied, -1]
[intrust] = [hand, commend, reach, charge, give, 1]
[intuit] = [compass, apprehend, grok, get_the_picture, savvy, -1]
[intumescence] = [hematoma, haematoma, puffiness, swelling, lump, -1]
[intumescency] = [hematoma, haematoma, puffiness, swelling, lump, -1]
[inutility] = [quality, futility, impracticality, worthlessness, impracticability, 1]
[invalidate] = [stet, set_aside, break, cancel, strike_down, -1]
[invalidity] = [illogicality, illogicalness, illogic, inconsequence, fallaciousness, -1]
[invalidness] = [illogicality, illogicalness, illogic, inconsequence, fallaciousness, -1]
[invariableness] = [unvariedness, changelessness, unchangeability, unchangeableness, unchangingness, -1]
[invariance] = [unvariedness, changelessness, unchangeability, unchangeableness, unchangingness, -1]
[invective] = [abuse, vilification, insult, revilement, contumely, -1]
[inveigh] = [quetch, kvetch, complain, sound_off, plain, -1]
[inventiveness] = [resourcefulness, imagination, creativity, creativeness, creative_thinking, -1]
[invertebrate] = [animal, animate_being, ctenophore, comb_jelly, beast, -1]
[investigating] = [tally, numeration, tap, scrutiny, testing, 1]
[investigator] = [experimenter, boffin, fieldworker, postdoc, post_doc, 1]
[invigilate] = [watch_over, keep_an_eye_on, watch, observe, follow, 1]
[invigorating] = [exhilarating, animating, enlivening, refreshing, restorative, 1]
[invigoration] = [chirpiness, spirit, sprightliness, liveliness, activity, 1]
[invisible] = [occult, concealed, nonvisual, hidden, out_of_sight, -1]
[involuntariness] = [resistance, disinclination, indisposition, temperament, hesitancy, -1]
[invulnerable] = [defendable, defensible, impregnable, secure, bombproof, 1]
[inwardness] = [content, quintessence, stuff, bare_bones, hypostasis, 1]
[ionizing_radiation] = [alpha_radiation, alpha_ray, beta_radiation, beta_ray, electron_radiation, 1]
[irish_bull] = [rot, bunk, bunkum, buncombe, guff, -1]
[irrational_motive] = [passion, irrational_impulse, compulsion, motivation, need, 1]
[irreality] = [nonexistence, nonentity, cloud, falseness, falsity, -1]
[irregularity] = [deviance, deviation, misbehavior, misbehaviour, misdeed, 1]
[irrelevant] = [inapplicable, unsuitable, immaterial, extraneous, orthogonal, -1]
[irreligious] = [heathen, heathenish, pagan, lapsed, nonchurchgoing, -1]
[irresoluteness] = [unpredictability, indecisiveness, indecision, trait, volatility, -1]
[irresolution] = [hesitation, uncertainty, doubt, incertitude, dubiety, -1]
[irresponsibility] = [untrustworthiness, untrustiness, undependability, undependableness, unreliability, -1]
[irresponsible] = [freewheeling, carefree, slaphappy, unaccountable, loose, 1]
[irresponsibleness] = [untrustworthiness, untrustiness, undependability, undependableness, unreliability, -1]
[irreverent] = [aweless, awless, disrespectful, sacrilegious, blasphemous, 1]
[irritability] = [ill_humor, ill_humour, distemper, pet, testiness, -1]
[irritant] = [pain_in_the_ass, pain, pain_in_the_neck, annoyance, bother, -1]
[irrupt] = [bother, barge_in, come_in, break_in, crash, -1]
[irruption] = [entrance, entering, entry, ingress, incoming, -1]
[issue] = [gut_issue, content, paramount_issue, pocketbook_issue, quodlibet, 1]
[itraconazole] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[jactitation] = [crow, crowing, bluster, bragging, vaporing, -1]
[jailhouse] = [lockup, holding_cell, workhouse, bastille, hoosegow, 1]
[jalopy] = [dysphemism, car, auto, automobile, machine, -1]
[jam] = [conserve, preserve, strawberry_jam, strawberry_preserves, conserves, -1]
[jambeau] = [armor_plate, armour_plate, armor_plating, plate_armor, plate_armour, -1]
[jape] = [humor, humour, wow, funny, dirty_joke, 1]
[japery] = [folly, lunacy, craziness, indulgence, shtik, 1]
[jar_against] = [run_into, strike, hit, impinge_on, collide_with, -1]
[jaundice] = [jaundice_of_the_newborn, physiological_jaundice_of_the_newborn, icterus_neonatorum, kernicterus, symptom, -1]
[jauntiness] = [chic, chicness, chichi, modishness, stylishness, 1]
[jawless_fish] = [hag, osteostracan, cephalaspid, ostracoderm, heterostracan, -1]
[jawless_vertebrate] = [hag, osteostracan, cephalaspid, ostracoderm, heterostracan, -1]
[jazz_around] = [range, ramble, vagabond, tramp, roam, 1]
[jazz_up] = [enliven, liven, liven_up, invigorate, animate, 1]
[jeep] = [car, auto, automobile, machine, motorcar, 1]
[jelly] = [dainty, delicacy, treat, gelatin_dessert, aspic, 1]
[jest] = [humor, humour, wow, funny, dirty_joke, 1]
[jeweled_headdress] = [crown, diadem, tiara, headdress, headgear, -1]
[jewelled_headdress] = [crown, diadem, tiara, headdress, headgear, -1]
[jewellery] = [gem, adornment, jewel, bead, bangle, 1]
[jewelry] = [gem, adornment, jewel, bead, bangle, 1]
[jimdandy] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[jimhickey] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[jockey_club] = [club, social_club, society, guild, gild, 1]
[jollification] = [jinks, high_jinks, hijinks, high_jinx, revel, -1]
[joyous] = [joyful, ecstatic, enraptured, rapturous, rapt, -1]
[judiciary] = [administration, governance, governing_body, establishment, brass, 1]
[judiciousness] = [sagacity, sagaciousness, care, caution, discernment, 1]
[jugglery] = [guile, trickery, chicanery, wile, shenanigan, 1]
[jugular] = [anterior_jugular_vein, external_jugular_vein, internal_jugular_vein, vein, vena, 1]
[juice_up] = [enliven, liven, liven_up, invigorate, animate, 1]
[junk_heap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[junk_pile] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[juvenile_amaurotic_idiocy] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[kainogenesis] = [growth, growing, maturation, development, ontogeny, -1]
[keep_an_eye_on] = [check_up_on, suss_out, check_over, check_into, check, 1]
[keepsake] = [favor, object, favour, party_favor, party_favour, 1]
[kenogenesis] = [growth, growing, maturation, development, ontogeny, -1]
[keratosis] = [keratosis_blennorrhagica, keratoderma_blennorrhagica, keratosis_pilaris, seborrheic_keratosis, verruca, -1]
[kerfuffle] = [turmoil, convulsion, tempest, disorder, earthquake, -1]
[key] = [master, ignition_key, latchkey, passkey, master_key, 1]
[kick_downstairs] = [designate, depute, reduce, sideline, delegate, -1]
[kick_upstairs] = [ennoble, gentle, prefer, spot_promote, favor, 1]
[kidney_disease] = [uropathy, polyuria, polycystic_kidney_disease, renal_failure, kidney_failure, 1]
[kidney_failure] = [acute_renal_failure, acute_kidney_failure, chronic_renal_failure, chronic_kidney_failure, nephrosis, -1]
[killjoy] = [worrier, fusspot, worrywart, unwelcome_person, persona_non_grata, -1]
[kiss_of_death] = [calamity, catastrophe, tragedy, disaster, cataclysm, -1]
[klutz] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[knavery] = [wrongdoing, treachery, perfidy, charlatanism, treason, 1]
[knee_piece] = [armor_plate, armour_plate, armor_plating, plate_armor, plate_armour, -1]
[knickknackery] = [curio, oddity, curiosity, peculiarity, oddment, 1]
[knock_against] = [run_into, strike, hit, impinge_on, collide_with, -1]
[knockout_punch] = [poke, clout, lick, punch, biff, -1]
[knowing] = [farsightedness, prevision, apprehension, savvy, discernment, -1]
[knuckle_under] = [consent, give_in, go_for, submit, accept, 1]
[knucklehead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
