['hood] = [vicinity, locality, neighborhood, neighbourhood, neck_of_the_woods, -1]
[abasia] = [abasia_trepidans, atactic_abasia, ataxic_abasia, choreic_abasia, paroxysmal_trepidant_abasia, -1]
[abatement] = [defervescence, subsidence, break, remission, remittal, -1]
[aberrance] = [abnormalcy, abnormality, deflection, warp, chromosomal_aberration, 1]
[aberrancy] = [abnormalcy, abnormality, deflection, warp, chromosomal_aberration, 1]
[abetalipoproteinemia] = [hypobetalipoproteinemia, lipidosis, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[abidance] = [keeping, formality, honoring, line, observance, 1]
[abide_by] = [accommodate, obey, conform_to, toe_the_line, oblige, 1]
[abjection] = [depth, humiliation, degeneration, decadence, decadency, -1]
[ablate] = [wear, wear_off, wear_out, wear_down, wear_thin, -1]
[ablepharia] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, 1]
[abnegate] = [check, hold, hold_in, moderate, control, 1]
[abnormal] = [atypical, irregular, vicarious, supernormal, subnormal, -1]
[abnormalcy] = [lagophthalmos, cyclopia, phimosis, erethism, deviance, 1]
[abnormality] = [lagophthalmos, cyclopia, phimosis, erethism, deviance, 1]
[abrade] = [excoriate, chafe, rasp, wear_away, wear_off, -1]
[absentee] = [hooky_player, truant, defaulter, exile, expatriate, -1]
[absolutism] = [dominance, ascendance, ascendence, ascendancy, ascendency, -1]
[absorb] = [assimilate, take_up, reabsorb, resorb, imbibe, 1]
[abstemious] = [ascetic, ascetical, spartan, austere, abstinent, 1]
[abstemiousness] = [meagerness, meagreness, poorness, scantiness, scantness, -1]
[abstract_thought] = [ratiocination, logical_argument, line_of_reasoning, thinking, thought, 1]
[absurdity] = [nonsense, meaninglessness, bunk, nonsensicality, hokum, 1]
[accessible] = [getatable, approachable, reachable, handy, ready_to_hand, 1]
[accommodate] = [meet, satisfy, fulfill, conform_to, fulfil, 1]
[accordant] = [agreeable, consentaneous, consentient, unanimous, according, 1]
[accost] = [come_up, recognize, greet, approach, come, 1]
[accouterment] = [trappings, furnishing, wear, wearable, belt, -1]
[accoutrement] = [trappings, furnishing, wear, wearable, belt, -1]
[accretion] = [backup, buildup, deposition, deposit, increase, 1]
[accusation] = [blame, incrimination, inculpation, complaint, imprecation, -1]
[achiever] = [great, highflier, highflyer, natural, mortal, 1]
[aching] = [hurting, bellyache, pain, headache, toothache, -1]
[achondroplasia] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[achondroplasty] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[achromatic] = [silvery, blackish, bluish_black, hueless, pitchy, -1]
[achromatic_color] = [inkiness, blackness, black, white, grayness, -1]
[acidity] = [acerbity, vinegariness, vinegarishness, tartness, taste_property, -1]
[acidophilus] = [lactobacillus, probiotic, probiotic_bacterium, probiotic_microflora, probiotic_flora, -1]
[acknowledged] = [accepted, recognized, declarable, given, putative, 1]
[acolyte] = [altar_boy, reverend, thurifer, clergyman, man_of_the_cloth, -1]
[acquaint] = [bring_out, present, reintroduce, introduce, inform, 1]
[acquirement] = [marksmanship, oarsmanship, seamanship, swordsmanship, numeracy, 1]
[acquisition] = [moneymaking, heritage, purchase, assumption, restitution, 1]
[acquit] = [pronounce, purge, whitewash, vindicate, label, 1]
[acrobatic_feat] = [stunt, tumble, split, walkover, backbend, -1]
[acrobatic_stunt] = [stunt, tumble, split, walkover, backbend, -1]
[actinomycosis] = [cervicofacial_actinomycosis, lumpy_jaw, thoracic_actinomycosis, abdominal_actinomycosis, zoonosis, -1]
[action_at_law] = [antitrust_case, civil_action, counterclaim, custody_case, lis_pendens, 1]
[activating] = [vivification, invigoration, activity, animation, electrification, 1]
[activeness] = [behavior, state, play, agency, busyness, 1]
[activewear] = [attire, garb, dress, gym_suit, running_suit, -1]
[acuity] = [oxyopia, sight, 20/20, vision, visual_sense, 1]
[adagio] = [musical_composition, opus, composition, piece, piece_of_music, 1]
[adamance] = [firmness, resolve, resoluteness, firmness_of_purpose, resolution, -1]
[adaptability] = [ability, flexibility, flexibleness, pliancy, pliantness, 1]
[adeptness] = [skillfulness, touch, dexterity, manual_dexterity, sleight, 1]
[adequate] = [competent, up_to, adequate_to, equal_to, capable, 1]
[adjustment] = [improvement, betterment, habituation, domestication, shakedown, 1]
[administrator] = [head, executive, executive_director, chief, academic_administrator, -1]
[admonishment] = [rebuke, reproof, reproval, reprehension, reprimand, 1]
[adorned] = [buttony, ruffled, fringed, tessellated, mounted, 1]
[adrenalin] = [pressor, hormone, endocrine, internal_secretion, catecholamine, 1]
[adrenaline] = [pressor, hormone, endocrine, internal_secretion, catecholamine, 1]
[adrenergic] = [pressor, phenylephrine, phenylpropanolamine, vasoconstrictor, vasoconstrictive, 1]
[adrenergic_drug] = [pressor, phenylephrine, phenylpropanolamine, vasoconstrictor, vasoconstrictive, 1]
[adroit] = [ingenious, clever, cunning, clean, neat, 1]
[adroitness] = [skillfulness, touch, dexterity, manual_dexterity, sleight, 1]
[adulterate] = [doctor, doctor_up, corrupt, spoil, sophisticate, -1]
[adulterer] = [slut, trollop, libertine, adulteress, fornicatress, -1]
[advantageous] = [beneficial, positive, good, plus, discriminatory, 1]
[adventuresome] = [audacious, swaggering, daring, venturesome, venturous, 1]
[adventurous] = [audacious, swaggering, daring, venturesome, venturous, 1]
[aesthesis] = [masking, taste, threshold, perception, limen, -1]
[aesthetical] = [cosmetic, painterly, sensuous, artistic, enhancive, 1]
[affability] = [sweetness_and_light, condescension, condescendingness, mellowness, friendliness, 1]
[affableness] = [sweetness_and_light, condescension, condescendingness, mellowness, friendliness, 1]
[affected] = [taken, subject, stricken, struck, impressed, 1]
[affectedness] = [unnaturalness, airs, pose, coyness, demureness, -1]
[affective_disorder] = [manic_disorder, bipolar_disorder, manic_depression, manic_depressive_illness, depression, -1]
[affirm] = [shew, verify, back, prove, demonstrate, 1]
[affixed] = [mounted, appendant, basifixed, glued, pasted, 1]
[afflict] = [tribulate, upset, grieve, disconcert, aggrieve, -1]
[affliction] = [crown_of_thorns, adversity, hardship, hard_knocks, cross, -1]
[affray] = [batrachomyomachia, wrangle, dustup, quarrel, row, -1]
[affront] = [discourtesy, offense, outrage, scandalization, indignity, -1]
[agamogenesis] = [pullulation, apomixis, blastogenesis, budding, fission, -1]
[agent] = [infectious_agent, infective_agent, satisfier, quickener, invigorator, 1]
[aggrandize] = [overstate, hyperbolize, glorify, exaggerate, overdraw, 1]
[aggress] = [harass, move, check, fork, pin, -1]
[aggroup] = [meet, team, team_up, embed, gang, 1]
[agnathan] = [hag, osteostracan, cephalaspid, ostracoderm, heterostracan, -1]
[agnosia] = [visual_agnosia, auditory_agnosia, brain_disorder, encephalopathy, brain_disease, -1]
[agnostic] = [mortal, person, individual, someone, somebody, 1]
[agreeability] = [affirmativeness, deference, compliance, disposition, complaisance, 1]
[airstrip] = [flare_path, airfield, landing_field, flying_field, field, -1]
[alarming] = [atrocious, horrific, menacing, minacious, minatory, -1]
[albinism] = [hypopigmentation, birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, -1]
[aldactone] = [corticosteroid, corticoid, adrenal_cortical_steroid, antihypertensive, antihypertensive_drug, -1]
[alga] = [confervoid_algae, seaweed, golden_algae, diatom, brown_algae, -1]
[algae] = [confervoid_algae, seaweed, golden_algae, diatom, brown_algae, -1]
[align] = [realign, realine, focus, true, address, -1]
[alikeness] = [resemblance, comparison, equivalence, reflection, spitting_image, -1]
[allayer] = [mortal, person, individual, someone, somebody, 1]
[allegation] = [grievance, accusation, plaint, lodgment, lodgement, 1]
[allergic_rhinitis] = [rhinitis, coryza, hay_fever, pollinosis, hypersensitivity_reaction, -1]
[alleviate] = [better, soothe, improve, ameliorate, meliorate, 1]
[allocation] = [share, reallocation, quota, portion, part, 1]
[allot] = [earmark, appropriate, set_aside, reserve, allot, 1]
[ally] = [state, nation, country, land, commonwealth, 1]
[alphabet_soup] = [motley, mixture, variety, assortment, mixed_bag, -1]
[altercate] = [fall_out, debate, wrangle, spat, brawl, 1]
[altercation] = [batrachomyomachia, wrangle, dustup, quarrel, row, -1]
[altered] = [paraphrastic, adjusted, changed, emended, edited, -1]
[alternative_energy] = [energy, solar_energy, solar_power, wind_generation, wind_power, -1]
[amateur] = [sciolist, dabbler, mortal, dilettante, bird_watcher, -1]
[amativeness] = [sexual_desire, concupiscence, physical_attraction, prurience, pruriency, 1]
[ambiguity] = [double_entendre, loophole, amphibology, amphiboly, parisology, 1]
[ambitious] = [pushful, pushy, aspirant, aspiring, wishful, 1]
[amebic_dysentery] = [amebiasis, amoebiasis, amebiosis, amoebiosis, dysentery, -1]
[amelia] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[ameliorate] = [assuage, perfect, fructify, relieve, sublimate, 1]
[amends] = [atonement, expiation, punitive_damages, exemplary_damages, compensation, -1]
[amentia] = [slowness, mental_retardation, backwardness, subnormality, retardation, -1]
[amethopterin] = [antimetabolite, immunosuppressant, immunosuppressor, immunosuppressive_drug, immunosuppressive, -1]
[ametria] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[ametropia] = [astigmatism, astigmia, visual_impairment, visual_defect, vision_defect, -1]
[amiability] = [jollity, jolliness, joviality, humor, temper, 1]
[amiableness] = [sweetness_and_light, condescension, condescendingness, mellowness, friendliness, 1]
[amobarbital] = [amobarbital_sodium, blue, blue_angel, blue_devil, barbiturate, -1]
[amoebic_dysentery] = [amebiasis, amoebiasis, amebiosis, amoebiosis, dysentery, -1]
[amoralism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, 1]
[amphipod] = [whale_louse, beach_flea, sand_hopper, sandhopper, sand_flea, 1]
[anaesthesia] = [cryoanesthesia, cryoanaesthesia, general_anesthesia, general_anaesthesia, local_anesthesia, -1]
[anaplasty] = [lift, phalloplasty, abdominoplasty, tummy_tuck, autoplasty, 1]
[anathemize] = [call_down, stir, call_forth, conjure, bring_up, -1]
[anemia] = [congenital_pancytopenia, drepanocytic_anemia, drepanocytic_anaemia, hypoplastic_anemia, hypoplastic_anaemia, 1]
[anesthesia] = [cryoanesthesia, cryoanaesthesia, general_anesthesia, general_anaesthesia, local_anesthesia, -1]
[aneurism] = [aortic_aneurysm, cerebral_aneurysm, intracranial_aneurysm, ventricular_aneurysm, cardiovascular_disease, -1]
[aneurysm] = [aortic_aneurysm, cerebral_aneurysm, intracranial_aneurysm, ventricular_aneurysm, cardiovascular_disease, -1]
[angina] = [quinsy, peritonsillar_abscess, spasmodic_laryngitis, inflammatory_disease, croup, -1]
[angioplasty] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, -1]
[angular_shape] = [fold, crease, plication, crimp, flexure, 1]
[angularity] = [fold, crease, plication, crimp, flexure, 1]
[animal_fancier] = [enthusiast, cat_fancier, horseman, horse_fancier, fancier, -1]
[animal_group] = [pack, strain, biological_group, brood, litter, -1]
[animal_order] = [perching_bird, percher, thyreophoran, marginocephalian, euronithopod, -1]
[animalism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[animate_being] = [stunt, game, mutant, invertebrate, varmint, -1]
[animated] = [lively, enlivened, spirited, reanimated, vital, 1]
[annihilation] = [devastation, atomization, pulverization, vaporization, destruction, -1]
[annul] = [stet, set_aside, break, cancel, strike_down, -1]
[anodyne] = [hydromorphone_hydrochloride, hydromorphone, acetaminophen, codeine, medicine, -1]
[anomaly] = [abnormality, abnormalcy, birth_defect, congenital_anomaly, congenital_defect, -1]
[anoxia] = [anemic_anoxia, ischemic_anoxia, stagnant_anoxia, anoxic_anoxia, hypoxia, -1]
[antagonize] = [nettle, bother, devil, chafe, rag, -1]
[anthelminthic] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[anthelmintic] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[antianxiety_agent] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[antianxiety_drug] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, antianxiety_agent, -1]
[antibiotic_drug] = [antibacterial, mycomycin, novobiocin, antineoplastic_antibiotic, bacitracin, 1]
[anticonvulsant] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[anticonvulsant_drug] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antidepressant] = [medicine, medication, nontricyclic, nontricyclic_drug, nontricyclic_antidepressant, -1]
[antidepressant_drug] = [medicine, medication, nontricyclic, nontricyclic_drug, nontricyclic_antidepressant, -1]
[antidiabetic] = [metformin, medicine, medication, medicament, medicinal_drug, -1]
[antidiabetic_drug] = [metformin, medicine, medication, medicament, medicinal_drug, -1]
[antidote] = [remedy, cure, therapeutic, curative, atropine, -1]
[antiemetic] = [prochlorperazine, medicine, medication, medicament, medicinal_drug, -1]
[antiemetic_drug] = [prochlorperazine, medicine, medication, medicament, medicinal_drug, -1]
[antiepileptic] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antiepileptic_drug] = [medicament, medicinal_drug, medication, medicine, mephenytoin, 1]
[antimalarial] = [chloroquine, primaquine, quinacrine, quinacrine_hydrochloride, mepacrine, 1]
[antimalarial_drug] = [chloroquine, primaquine, quinacrine, quinacrine_hydrochloride, mepacrine, 1]
[antineoplastic_antibiotic] = [antibiotic, antibiotic_drug, antineoplastic, mithramycin, antineoplastic_drug, 1]
[antiprotozoal] = [metronidazole, antimalarial, antimalarial_drug, medicine, medication, -1]
[antiprotozoal_drug] = [metronidazole, antimalarial, antimalarial_drug, medicine, medication, -1]
[antipruritic] = [local_anesthetic, local_anaesthetic, local, topical_anesthetic, topical_anaesthetic, 1]
[antipsychotic] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
