[pliability] = [pliancy, pliantness, flexibility, flexibleness, suppleness, 1]
[plication] = [angular_shape, angularity, ruck, pucker, pleat, 1]
[plight] = [hot_water, difficulty, care, corner, box, -1]
[plump_for] = [okay, warrant, sanction, approve, champion, 1]
[plunk_for] = [okay, warrant, sanction, approve, champion, 1]
[pneumoconiosis] = [asbestosis, silicosis, anthracosis, black_lung, black_lung_disease, -1]
[pneumonia] = [bronchopneumonia, bronchial_pneumonia, viral_pneumonia, pleuropneumonia, pneumococcal_pneumonia, -1]
[pneumonoconiosis] = [asbestosis, silicosis, anthracosis, black_lung, black_lung_disease, -1]
[pocket_knife] = [jackknife, clasp_knife, penknife, switchblade, switchblade_knife, 1]
[pocketknife] = [jackknife, clasp_knife, penknife, switchblade, switchblade_knife, 1]
[poet] = [poetess, bard, elegist, odist, poet_laureate, 1]
[point_in_time] = [second, then, outset, starting_time, showtime, 1]
[pointed_arch] = [trefoil_arch, ogee_arch, keel_arch, drop_arch, arch, 1]
[poison_gas] = [nerve_gas, nerve_agent, mustard_gas, mustard_agent, blistering_agent, -1]
[poisoning] = [ergotism, paraquat_poisoning, alkali_poisoning, caffeinism, caffeine_intoxication, -1]
[poisonous_plant] = [water_dropwort, hemlock_water_dropwort, water_hemlock, plant_life, poison_sumac, -1]
[pokey] = [lockup, holding_cell, workhouse, bastille, hoosegow, 1]
[poky] = [lockup, holding_cell, workhouse, bastille, hoosegow, 1]
[polecat] = [striped_skunk, hooded_skunk, hognosed_skunk, badger_skunk, rooter_skunk, -1]
[polished] = [shining, lustrous, shiny, bright, burnished, 1]
[polydactyly] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[polygenic_disease] = [diabetes, genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, 1]
[polygenic_disorder] = [diabetes, genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, 1]
[polyhidrosis] = [perspiration, sweating, diaphoresis, sudation, hidrosis, -1]
[polysomy] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, 1]
[pong] = [malodor, stench, stink, fetor, foetor, -1]
[poop_out] = [weary, tire, jade, pall, fatigue, 1]
[poor_fish] = [dunce, dunderhead, numskull, blockhead, bonehead, -1]
[poorness] = [destitution, deprivation, indigence, penury, pauperism, -1]
[poppycock] = [meaninglessness, nonsense, bunk, nonsensicality, hokum, -1]
[porphyria] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[positive_stimulus] = [fillip, joy, bonus, stimulant, delight, 1]
[possibleness] = [potential, potency, conceivableness, conceivability, achievability, -1]
[poster_child] = [child, small_fry, tyke, tike, kid, 1]
[postiche] = [attire, garb, wig, dress, switch, -1]
[posttraumatic_stress_disorder] = [battle_fatigue, combat_fatigue, combat_neurosis, shell_shock, anxiety_disorder, -1]
[potable] = [smoothie, drinking_water, nutrient, milk, refresher, 1]
[potency] = [imperium, lordship, power_of_appointment, carte_blanche, command, 1]
[potentiality] = [prospect, chance, possibility, possibleness, latency, 1]
[potter's_field] = [cemetery, graveyard, burial_site, burial_ground, burying_ground, -1]
[powerless] = [helpless, incapacitated, feeble, weak, nerveless, -1]
[powerlessness] = [impuissance, weakness, unpersuasiveness, uninterestingness, helplessness, -1]
[pox] = [secondary_syphilis, primary_syphilis, tertiary_syphilis, venereal_disease, venereal_infection, -1]
[practicality] = [functionality, sensibleness, viability, usefulness, realism, 1]
[prank] = [folly, lunacy, craziness, indulgence, shtik, 1]
[preceding] = [previous, above, old, foregoing, introductory, -1]
