[accost] = [come_up, recognize, greet, approach, come, 1]
[acquit] = [pronounce, purge, whitewash, vindicate, label, 1]
[adulterate] = [doctor, doctor_up, corrupt, spoil, sophisticate, -1]
[affirm] = [shew, verify, back, prove, demonstrate, 1]
[afflict] = [tribulate, upset, grieve, disconcert, aggrieve, -1]
[affront] = [discourtesy, offense, outrage, scandalization, indignity, -1]
[alleviate] = [better, soothe, improve, ameliorate, meliorate, 1]
[ameliorate] = [assuage, perfect, fructify, relieve, sublimate, 1]
[antagonize] = [nettle, bother, devil, chafe, rag, -1]
[appal] = [churn_up, sicken, disgust, nauseate, revolt, -1]
[appease] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[apprehend] = [understand, twig, digest, tumble, intuit, 1]
[assail] = [blindside, profane, assault, savage, violate, -1]
[assuage] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[atrophy] = [amyotrophia, amyotrophy, tabes, kraurosis, symptom, -1]
[attest] = [prove, show, condemn, authenticate, reflect, 1]
[beautify] = [suit, better, improve, ameliorate, meliorate, 1]
[befit] = [check, match, correspond, jibe, tally, 1]
[bemoan] = [quetch, kvetch, complain, sound_off, plain, -1]
[berate] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[besiege] = [assail, blockade, seal_off, ebb, attack, -1]
[besmirch] = [assassinate, charge, accuse, malign, libel, 1]
[bewail] = [quetch, kvetch, complain, sound_off, plain, -1]
[bias] = [taboo, tabu, tendentiousness, irrational_hostility, experimenter_bias, -1]
[bicker] = [wrangle, dustup, quarrel, row, words, -1]
[blabber] = [fink, snitch, snitcher, sneak, stoolpigeon, -1]
[botch] = [bobble, error, misstep, fumble, stumble, -1]
[bungle] = [bobble, error, misstep, fumble, stumble, -1]
[cannibalize] = [take_in, take, ingest, have, consume, -1]
[castigate] = [call_on_the_carpet, take_to_task, chide, berate, bawl_out, -1]
[chasten] = [call_on_the_carpet, take_to_task, chide, berate, bawl_out, -1]
[chastise] = [call_on_the_carpet, take_to_task, chide, berate, bawl_out, -1]
[cheapen] = [worsen, aggravate, exacerbate, devalue, devaluate, -1]
[chide] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[cleanse] = [wash, lather, floss, decontaminate, bathe, -1]
[coerce] = [turn_up_the_heat, turn_up_the_pressure, steamroller, steamroll, sandbag, 1]
[conciliate] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[confide] = [relieve, expose, break, let_out, bring_out, 1]
[confound] = [demoralize, pose, disorient, disorientate, amaze, -1]
[confront] = [take_the_bull_by_the_horns, breast, front, encounter, oppose, -1]
[contravene] = [offend, violate, go_against, break, transgress, -1]
[debase] = [suborn, modify, poison, lead_astray, alter, -1]
[declaim] = [elocute, scan, execute, perorate, perform, 1]
[defame] = [assassinate, charge, accuse, malign, libel, 1]
[defy] = [brave_out, endure, weather, withstand, stand_firm, -1]
[degenerate] = [fetishist, lecher, lech, letch, satyr, 1]
[dehumanize] = [take_down, degrade, demean, disgrace, put_down, 1]
[delude] = [humbug, play_tricks, fob, pull_a_fast_one_on, play_a_trick_on, -1]
[demean] = [humiliate, humble, abase, mortify, reduce, -1]
[deplore] = [anathemize, pick_apart, execrate, criticize, accurse, -1]
[deprive] = [bereave, expropriate, disarm, unclothe, take, -1]
[desert] = [biome, tract, piece_of_land, piece_of_ground, parcel_of_land, -1]
[deviate] = [fetishist, lecher, lech, letch, satyr, 1]
[differ] = [deviate, counterpoint, depart, contrast, diverge, 1]
[diminish] = [remit, taper, drop_off, contract, break, 1]
[disable] = [lay_up, modify, nobble, alter, change, -1]
[disappoint] = [fail, betray, queer, cross, disillusion, -1]
[disbelieve] = [suspect, reject, doubt, distrust, mistrust, -1]
[discombobulate] = [upset, disconcert, discompose, discomfit, untune, -1]
[disobey] = [refuse, subvert, decline, balk, baulk, -1]
[disparage] = [disgrace, pick_apart, depreciate, criticize, belittle, -1]
[displace] = [transplant, move, displace, bump, dislocate, 1]
[disprove] = [controvert, refute, rebut, falsify, negate, -1]
[disrupt] = [block, barge_in, jam, interject, throw_in, -1]
[dissemble] = [talk_through_one's_hat, bullshit, take_a_dive, fake, misrepresent, -1]
[dupe] = [mug, sitting_duck, easy_mark, stooge, mortal, -1]
[electrify] = [turn_on, rouse, charge, agitate, excite, 1]
[embellish] = [overstate, hyperbolize, glorify, exaggerate, overdraw, 1]
[enable] = [gift, change, empower, invest, endow, 1]
[energize] = [reanimate, revivify, reinvigorate, recreate, renovate, 1]
[engross] = [focus, pore, rivet, concentrate, center, 1]
[engulf] = [focus, pore, rivet, concentrate, center, 1]
[enhance] = [compound, intensify, deepen, potentiate, heighten, 1]
[enliven] = [encourage, stir, shake, excite, shake_up, 1]
[enrich] = [better, improve, ameliorate, meliorate, amend, 1]
[entrust] = [hand, commend, reach, charge, give, 1]
[err] = [trip_up, stumble, misjudge, misremember, fall_for, -1]
[exclaim] = [express, utter, gee, ooh, aah, -1]
[exonerate] = [pronounce, purge, whitewash, vindicate, label, 1]
[exploit] = [rallying, rally, accomplishment, stunt, hit, 1]
[falsify] = [murder, mutilate, mangle, misrepresent, belie, -1]
[faze] = [untune, discompose, discomfit, disconcert, upset, 1]
[feel] = [cognisance, knowingness, awareness, cognizance, consciousness, 1]
[feign] = [talk_through_one's_hat, bullshit, take_a_dive, fake, misrepresent, -1]
[fib] = [prevarication, fairytale, fairy_tale, fairy_story, song_and_dance, -1]
[flout] = [disregard, ignore, brush_off, push_aside, dismiss, -1]
[forsake] = [maroon, strand, walk_out, expose, ditch, -1]
[fracture] = [injury, hairline_fracture, capillary_fracture, incomplete_fracture, simple_fracture, -1]
[fumble] = [flub, blunder, blooper, bungle, botch, -1]
[further] = [further, promote, encourage, boost, advance, 1]
[galvanize] = [shock, floor, ball_over, blow_out_of_the_water, take_aback, -1]
[gibber] = [babbling, double_talk, mumbo_jumbo, babble, lallation, -1]
[harmonize] = [check, go, match, correspond, jibe, 1]
[hoax] = [shenanigan, chicanery, wile, goldbrick, trickery, -1]
[imagine] = [fancy, foresee, fantasy, daydream, woolgather, -1]
[inflict] = [intrude, obtrude, clamp, give, communicate, -1]
[infringe] = [offend, violate, go_against, break, transgress, -1]
[insist] = [stand_pat, hold_firm, stand_fast, maintain, stand_firm, -1]
[intrude] = [bother, barge_in, come_in, break_in, crash, -1]
[invalidate] = [stet, set_aside, break, cancel, strike_down, -1]
[jest] = [humor, wow, funny, dirty_joke, dirty_story, 1]
[massacre] = [murder, slaying, bloodbath, bloodshed, bloodletting, -1]
[misinform] = [deceive, sandbag, betray, lead_astray, tergiversate, -1]
[misjudge] = [underestimate, err, overrate, mistake, miscalculate, -1]
[misrepresent] = [warp, dissemble, feign, sham, pretend, -1]
[misuse] = [substance_abuse, drug_abuse, habit, usage, use, -1]
[mollify] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[niggle] = [dither, pother, worry, flap, scruple, -1]
[offset] = [point_in_time, threshold, birth, incipiency, incipience, 1]
[oppress] = [quash, keep_down, reduce, repress, subdue, -1]
[outdo] = [shame, outcry, crush, outsell, trounce, -1]
[outsmart] = [outdo, outstrip, outmatch, outgo, outperform, 1]
[outstrip] = [shame, outcry, crush, outsell, trounce, -1]
[overemphasize] = [overstate, hyperbolize, exaggerate, overdraw, magnify, 1]
[overstate] = [brag, embellish, overemphasize, overstress, vaunt, 1]
[overthrow] = [subversion, subversive_activity, termination, ending, conclusion, -1]
[pacify] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[persevere] = [obstinate, ask_for_it, ask_for_trouble, preserve, plug, -1]
[placate] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[plead] = [conjure, appeal, beg, implore, pray, -1]
[pretend] = [pretence, feigning, pretense, pretending, simulation, -1]
[profane] = [suborn, modify, poison, lead_astray, alter, -1]
[prophesy] = [vaticinate, call, enlighten, irradiate, predict, 1]
[purify] = [better, improve, ameliorate, meliorate, amend, 1]
[quack] = [doctor, mountebank, charlatan, doc, physician, -1]
[rally] = [pep_rally, revival, revival_meeting, gathering, assemblage, 1]
[rankle] = [nettle, bother, devil, chafe, rag, -1]
[rebuff] = [discourtesy, snub, cold_shoulder, offense, cut, -1]
[rebuke] = [bawling_out, chewing_out, upbraiding, dressing_down, berating, -1]
[refine] = [better, improve, ameliorate, meliorate, cultivate, 1]
[refute] = [controvert, answer, disown, renounce, repudiate, -1]
[reproach] = [blame, rap, reprimand, rebuke, reproof, -1]
[repudiate] = [abjure, recant, forswear, deny, reject, -1]
[revel] = [whoopee, merrymaking, jollification, binge, riot, -1]
[revitalize] = [better, improve, ameliorate, meliorate, amend, 1]
[revive] = [bring_up, bring_around, resurrect, boot, reboot, 1]
[ruffle] = [adornment, goffer, gauffer, jabot, peplum, 1]
[sanction] = [okay, approval, commendation, okey, okeh, 1]
[satirize] = [blackguard, roast, ridicule, guy, laugh_at, -1]
[scandalize] = [churn_up, sicken, disgust, nauseate, revolt, -1]
[shield] = [protective_cover, protective_covering, scale, protection, nipple_shield, -1]
[shriek] = [cry, yell, call, outcry, shout, 1]
[slight] = [discourtesy, snub, cold_shoulder, offense, cut, -1]
[speculate] = [formulate, expect, retrace, explicate, reconstruct, -1]
[spurn] = [snub, rebuff, repel, refuse, decline, -1]
[squabble] = [wrangle, dustup, quarrel, row, words, -1]
[storm] = [rainstorm, atmospheric_phenomenon, northeaster, noreaster, hailstorm, -1]
[succeed] = [clear, pan_out, reach, bring_off, luck_out, 1]
[succumb] = [consent, give_in, go_for, submit, accept, 1]
[suffice] = [go_around, fulfil, fulfill, go_a_long_way, satisfy, -1]
[suppress] = [still, burke, moderate, hush_up, quell, -1]
[surpass] = [rank, outrank, shine_at, excel_at, exceed, -1]
[sweeten] = [sugarcoat, honey, glaze, change_taste, sugar, 1]
[tantalize] = [bemock, jeer, scoff, flout, chaff, -1]
[tolerate] = [bear_up, take_lying_down, swallow, live_with, sit_out, -1]
[topple] = [fall, keel_over, descend, go_down, come_down, -1]
[undo] = [unlace, unfold, untie, unbrace, spread, 1]
[unnerve] = [untune, discompose, discomfit, disconcert, upset, 1]
[uphold] = [hold, hold_on, persist, hang_on, maintain, 1]
[usurp] = [raid, take, appropriate, capture, annex, -1]
[vanish] = [absent, fall_away, evanesce, blow_over, pass_off, -1]
